1384310082202	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/controller/CCCsvFileLoader.java/1384310019663.java
1384310081666	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/controller/CCCsvFileLoader.java/1384310019663.java
1384310081666	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/controller/CCFileLoader.java/1384310019673.java
1384310081666	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/controller/CCFileLoader.java/1384310019673.java
1384310082241	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/controller/CCFileLoader.java/1384310019673.java
1384310081667	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/controller/CCFileLoader.java/1384310019673.java
1384310081667	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/model/CCCompileError.java/1384310019693.java
1384310081668	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/model/CCCompileError.java/1384310019693.java
1384310082279	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/model/CCCompileError.java/1384310019693.java
1384310081668	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/model/CCCompileError.java/1384310019693.java
1384310081669	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/model/CCCompileErrorList.java/1384310019697.java
1384310081669	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/model/CCCompileErrorList.java/1384310019697.java
1384310082318	Wed Nov 13 11:34:42 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/model/CCCompileErrorList.java/1384310019697.java
1384310081670	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/model/CCCompileErrorList.java/1384310019697.java
1384310081671	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/model/CCCompileErrorManager.java/1384310019708.java
1384310081671	Wed Nov 13 11:34:41 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/model/CCCompileErrorManager.java/1384310019708.java
